"","Population","Size.Variable","Soil.Metric","Slope","P.value","p_bonf_corrected","Significance.reg","Significance.bonf","p_holm_corrected","p_hoch_corrected","p_fdr_corrected","Significance.holm","Significance.hoch","Significance.fdr"
"71","LM","CS","Sand 0-5",0.0860225763308356,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"72","LM","CS","Sand 100-200",0.080324565829313,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"73","LM","CS","Ph 0-5",0.0529100784522796,0.978,1,"N","N",1,0.994,0.991009174311927,"N","N","N"
"74","LM","CS","Ph 100-200",0.929818644514111,0.056,1,"N","N",1,0.994,0.131063829787234,"N","N","N"
"75","LM","CS","Volume of water content -10 kpa 0-5",0.604899245541648,0.002,0.66,"Y","N",0.572,0.548,0.0115789473684211,"N","N","Y"
"76","LM","CS","Volume of water content -10 kpa 100-200",-0.109299428186214,0.604,1,"N","N",1,0.994,0.7575,"N","N","N"
"77","LM","CS","Volume of water content -33 kpa 0-5",-0.464512944392664,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"78","LM","CS","Volume of water content -33 kpa 100-200",-0.160432121304031,0.218,1,"N","N",1,0.994,0.361507537688442,"N","N","N"
"79","LM","CS","Volume of water content -1500 kpa 0-5",0.210248375951439,0.21,1,"N","N",1,0.994,0.35,"N","N","N"
"80","LM","CS","Volume of water content -1500 kpa 100-200",-0.224651751753935,0.09,1,"N","N",1,0.994,0.184472049689441,"N","N","N"
"81","LM","CS","Nitrogen 0-5",0.190318951250707,0.108,1,"N","N",1,0.994,0.206011560693642,"N","N","N"
"82","LM","CS","Nitrogen 100-200",0.197336677501144,0.282,1,"N","N",1,0.994,0.441042654028436,"N","N","N"
"83","LM","CS","Soil Organic Carbon 0-5",0.00739162834715264,0.942,1,"N","N",1,0.994,0.980630914826498,"N","N","N"
"84","LM","CS","Soil Organic Carbon 100-200",-0.136286763995637,0.016,1,"Y","N",1,0.994,0.0528,"N","N","N"
"85","LM","CS","Sand Available Water 0-5",-0.360145813127466,0.002,0.66,"Y","N",0.572,0.548,0.0115789473684211,"N","N","Y"
"86","LM","CS","Sand Available Water 100-200",0.0508753354116433,0.606,1,"N","N",1,0.994,0.7575,"N","N","N"
"87","LM","CS","Clay/Loam Available Water 0-5",0.239449822082497,0.096,1,"N","N",1,0.994,0.188571428571429,"N","N","N"
"88","LM","CS","Clay/Loam Available Water 100-200",0.118622871285413,0.222,1,"N","N",1,0.994,0.365940594059406,"N","N","N"
"89","LM","DBH","Clay 0-5",-0.00388116066372865,0.01,1,"Y","N",1,0.994,0.0392857142857143,"N","N","Y"
"90","LM","DBH","Clay 100-200",-0.00289813244320407,0.05,1,"N","N",1,0.994,0.125,"N","N","N"
"91","LM","DBH","Silt 0-5",-0.0017174872735309,0.69,1,"N","N",1,0.994,0.813214285714286,"N","N","N"
